Date : 2024-03-11 09:52:51
Directory : c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360
Total : 235 files,  395604 codes, 622 comments, 1937 blanks, all 398163 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| components\other\loading                                                                                                                                                     |          1 |         22 |          0 |          3 |         25 |
| components\other\navbar                                                                                                                                                      |          1 |        165 |         34 |         47 |        246 |
| components\other\notification                                                                                                                                                |          2 |        150 |         15 |         24 |        189 |
| components\other\popup                                                                                                                                                       |          1 |         59 |          0 |         16 |         75 |
| components\other\sidebarButton                                                                                                                                               |          2 |         69 |          2 |         18 |         89 |
| components\other\slider                                                                                                                                                      |          1 |        334 |         62 |         67 |        463 |
| components\other\timeCountDown                                                                                                                                               |          1 |        111 |          5 |         18 |        134 |
| components\top-class-courses                                                                                                                                                 |          3 |         74 |          1 |          5 |         80 |
| components\video-section                                                                                                                                                     |          2 |         97 |          0 |         12 |        109 |
| containers                                                                                                                                                                   |         13 |        191 |         20 |         73 |        284 |
| containers\auth                                                                                                                                                              |         11 |        146 |         10 |         62 |        218 |
| containers\auth\forgotPassword                                                                                                                                               |          1 |          9 |          0 |          3 |         12 |
| containers\auth\login                                                                                                                                                        |          4 |         36 |          0 |         10 |         46 |
| containers\auth\login (Files)                                                                                                                                                |          1 |          9 |          0 |          2 |         11 |
| containers\auth\login\admin                                                                                                                                                  |          1 |          9 |          0 |          2 |         11 |
| containers\auth\login\student                                                                                                                                                |          1 |          9 |          0 |          3 |         12 |
| containers\auth\login\teacher                                                                                                                                                |          1 |          9 |          0 |          3 |         12 |
| containers\auth\register                                                                                                                                                     |          3 |         30 |          0 |         11 |         41 |
| containers\auth\register (Files)                                                                                                                                             |          1 |         10 |          0 |          2 |         12 |
| containers\auth\register\student                                                                                                                                             |          1 |         10 |          0 |          4 |         14 |
| containers\auth\register\teacher                                                                                                                                             |          1 |         10 |          0 |          5 |         15 |
| containers\auth\resetPassword                                                                                                                                                |          1 |         31 |          2 |         16 |         49 |
| containers\auth\sendVerifyEmail                                                                                                                                              |          1 |          7 |          0 |         11 |         18 |
| containers\auth\verifyEmail                                                                                                                                                  |          1 |         33 |          8 |         11 |         52 |
| containers\home                                                                                                                                                              |          1 |         36 |         10 |          7 |         53 |
| containers\notification                                                                                                                                                      |          1 |          9 |          0 |          4 |         13 |
| functions                                                                                                                                                                    |         19 |        704 |        132 |        270 |      1,106 |
| functions\auth                                                                                                                                                               |          8 |        276 |         40 |         95 |        411 |
| functions\auth (Files)                                                                                                                                                       |          2 |         27 |          0 |          8 |         35 |
| functions\auth\forgotPassword                                                                                                                                                |          1 |         53 |         10 |         10 |         73 |
| functions\auth\login                                                                                                                                                         |          1 |         28 |          3 |         14 |         45 |
| functions\auth\register                                                                                                                                                      |          1 |         32 |         17 |         15 |         64 |
| functions\auth\resetPassword                                                                                                                                                 |          1 |         46 |          4 |         12 |         62 |
| functions\auth\sendVerifyEmail                                                                                                                                               |          1 |         47 |          0 |         19 |         66 |
| functions\auth\verifyEmail                                                                                                                                                   |          1 |         43 |          6 |         17 |         66 |
| functions\other                                                                                                                                                              |         11 |        428 |         92 |        175 |        695 |
| functions\other\calculateTime                                                                                                                                                |          1 |         30 |          4 |          6 |         40 |
| functions\other\mailStringCheck                                                                                                                                              |          1 |         14 |          4 |          5 |         23 |
| functions\other\rateLimit                                                                                                                                                    |          1 |         28 |          4 |         14 |         46 |
| functions\other\rateLimitPageConfig                                                                                                                                          |          1 |         95 |         14 |         21 |        130 |
| functions\other\regularCheckSystemData                                                                                                                                       |          5 |        238 |         66 |        123 |        427 |
| functions\other\regularCheckSystemData\cookieTimeUpdate                                                                                                                      |          1 |         36 |         16 |         17 |         69 |
| functions\other\regularCheckSystemData\dataUpdateChecker                                                                                                                     |          2 |         72 |         25 |         31 |        128 |
| functions\other\regularCheckSystemData\databaseWhenUpdate                                                                                                                    |          1 |         26 |          3 |         13 |         42 |
| functions\other\regularCheckSystemData\newSystemDataProcess                                                                                                                  |          1 |        104 |         22 |         62 |        188 |
| functions\other\secondCountDown                                                                                                                                              |          1 |         12 |          0 |          3 |         15 |
| functions\other\timeNow                                                                                                                                                      |          1 |         11 |          0 |          3 |         14 |
| lib                                                                                                                                                                          |          4 |         38 |          1 |         14 |         53 |
| lib\prisma                                                                                                                                                                   |          1 |         11 |          0 |          3 |         14 |
| lib\table                                                                                                                                                                    |          3 |         27 |          1 |         11 |         39 |
| mocks                                                                                                                                                                        |          3 |    372,356 |          0 |          0 |    372,356 |
| pages                                                                                                                                                                        |         16 |        651 |         42 |        191 |        884 |
| pages\api                                                                                                                                                                    |         16 |        651 |         42 |        191 |        884 |
| pages\api\auth                                                                                                                                                               |          7 |        438 |         22 |        114 |        574 |
| pages\api\auth (Files)                                                                                                                                                       |          1 |         77 |         10 |         21 |        108 |
| pages\api\auth\forgotPassword                                                                                                                                                |          1 |         72 |          2 |         15 |         89 |
| pages\api\auth\login                                                                                                                                                         |          1 |         31 |          1 |         10 |         42 |
| pages\api\auth\register                                                                                                                                                      |          1 |        102 |          4 |         26 |        132 |
| pages\api\auth\resetPassword                                                                                                                                                 |          1 |         54 |          3 |         12 |         69 |
| pages\api\auth\sendVerifyEmail                                                                                                                                               |          1 |         65 |          0 |         15 |         80 |
| pages\api\auth\verifyEmail                                                                                                                                                   |          1 |         37 |          2 |         15 |         54 |
| pages\api\dashboard                                                                                                                                                          |          1 |         40 |          1 |         17 |         58 |
| pages\api\dashboard\admin                                                                                                                                                    |          1 |         40 |          1 |         17 |         58 |
| pages\api\dashboard\admin\generalTopPageBanner                                                                                                                               |          1 |         40 |          1 |         17 |         58 |
| pages\api\games                                                                                                                                                              |          1 |          7 |          0 |          0 |          7 |
| pages\api\mail                                                                                                                                                               |          2 |         47 |          2 |         12 |         61 |
| pages\api\other                                                                                                                                                              |          4 |        109 |         17 |         43 |        169 |
| pages\api\other\dataUpdateChecker                                                                                                                                            |          1 |         40 |          5 |         15 |         60 |
| pages\api\other\databaseWhenUpdate                                                                                                                                           |          1 |         37 |         10 |         19 |         66 |
| pages\api\other\generalTopPageBanner                                                                                                                                         |          1 |         16 |          1 |          4 |         21 |
| pages\api\other\slider                                                                                                                                                       |          1 |         16 |          1 |          5 |         22 |
| pages\api\test                                                                                                                                                               |          1 |         10 |          0 |          5 |         15 |
| prisma                                                                                                                                                                       |          1 |         99 |          4 |         23 |        126 |
| public                                                                                                                                                                       |         23 |      2,912 |         53 |         98 |      3,063 |
| public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test                                                                                                   |         23 |      2,912 |         53 |         98 |      3,063 |
| public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test (Files)                                                                                           |          3 |        498 |          3 |         89 |        590 |
| public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5                                                                                             |         18 |        817 |         50 |          7 |        874 |
| public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\data                                                                                        |         11 |        805 |          0 |          1 |        806 |
| public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\data\css                                                                                    |          1 |        795 |          0 |          1 |        796 |
| public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\data\js                                                                                     |         10 |         10 |          0 |          0 |         10 |
| public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\lib                                                                                         |          7 |         12 |         50 |          6 |         68 |
| public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\lib\hls                                                                                     |          1 |          1 |          1 |          0 |          2 |
| public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\lib\scripts                                                                                 |          4 |          9 |         49 |          4 |         62 |
| public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\lib\stylesheets                                                                             |          2 |          2 |          0 |          2 |          4 |
| public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\story_content                                                                                     |          2 |      1,597 |          0 |          2 |      1,599 |
| redux                                                                                                                                                                        |          1 |          6 |          1 |          4 |         11 |
| redux\stores                                                                                                                                                                 |          1 |          6 |          1 |          4 |         11 |
| services                                                                                                                                                                     |          3 |        127 |         18 |         42 |        187 |
| services\auth                                                                                                                                                                |          1 |         12 |          0 |          6 |         18 |
| services\auth\register                                                                                                                                                       |          1 |         12 |          0 |          6 |         18 |
| services\fetchAPI                                                                                                                                                            |          1 |         38 |          7 |         17 |         62 |
| services\serviceOperations                                                                                                                                                   |          1 |         77 |         11 |         19 |        107 |
| styles                                                                                                                                                                       |          1 |         78 |          0 |         12 |         90 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                     | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\.env                                                                                                              | Properties         |         14 |          0 |          4 |         18 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\.idea\CaliskanAri----Medyanes-360.iml                                                                             | XML                |         12 |          0 |          0 |         12 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\.idea\modules.xml                                                                                                 | XML                |          8 |          0 |          0 |          8 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\.idea\vcs.xml                                                                                                     | XML                |          6 |          0 |          0 |          6 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\README.md                                                                                                         | Markdown           |         26 |          0 |         13 |         39 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\(DashboardLayout)\dashboard\admin\page.jsx                                                                    | JavaScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\(DashboardLayout)\dashboard\layout.jsx                                                                        | JavaScript JSX     |         20 |          0 |          5 |         25 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\(DashboardLayout)\dashboard\page.jsx                                                                          | JavaScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\forgotPassword\page.jsx                                                                                  | JavaScript JSX     |          9 |          2 |          2 |         13 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\login\admin\page.jsx                                                                                     | JavaScript JSX     |          9 |          0 |          4 |         13 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\login\page.jsx                                                                                           | JavaScript JSX     |          9 |          0 |          2 |         11 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\login\student\page.jsx                                                                                   | JavaScript JSX     |          9 |          0 |          4 |         13 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\login\teacher\page.jsx                                                                                   | JavaScript JSX     |          9 |          0 |          4 |         13 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\register\page.jsx                                                                                        | JavaScript JSX     |          9 |          0 |          5 |         14 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\register\student\page.jsx                                                                                | JavaScript JSX     |          9 |          0 |          3 |         12 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\register\teacher\page.jsx                                                                                | JavaScript JSX     |          9 |          0 |          2 |         11 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\resetPassword\page.jsx                                                                                   | JavaScript JSX     |         11 |          0 |          6 |         17 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\sendVerifyEmail\page.jsx                                                                                 | JavaScript JSX     |          9 |          3 |          5 |         17 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\verifyEmail\page.jsx                                                                                     | JavaScript JSX     |         11 |          0 |          5 |         16 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\head.jsx                                                                                                      | JavaScript JSX     |         16 |          0 |          3 |         19 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\layout.jsx                                                                                                    | JavaScript JSX     |         67 |         28 |         10 |        105 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\notification\page.jsx                                                                                         | JavaScript JSX     |          9 |          0 |          5 |         14 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\page.jsx                                                                                                      | JavaScript JSX     |         12 |          0 |          3 |         15 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\AnalyticsIcon.jsx                                                                                    | JavaScript JSX     |          7 |          0 |          2 |          9 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\BurgerIcon.jsx                                                                                       | JavaScript JSX     |         24 |          0 |          2 |         26 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\ChevronsLeft.jsx                                                                                     | JavaScript JSX     |          7 |          0 |          2 |          9 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\ChevronsRight.jsx                                                                                    | JavaScript JSX     |          7 |          0 |          2 |          9 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\DefaultIcon.jsx                                                                                      | JavaScript JSX     |          7 |          0 |          3 |         10 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\UserIcon.jsx                                                                                         | JavaScript JSX     |          7 |          0 |          2 |          9 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\image\''.svg                                                                                         | XML                |          4 |          0 |          1 |          5 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\image\dots.svg                                                                                       | XML                |         18 |          0 |          1 |         19 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\image\download-4.svg                                                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\image\download-5.svg                                                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\image\empty.svg                                                                                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\image\graduation.svg                                                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\image\lightwave.svg                                                                                  | XML                |          3 |          0 |          1 |          4 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\image\line.svg                                                                                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\image\pinkmount.svg                                                                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\image\wave.svg                                                                                       | XML                |          3 |          0 |          1 |          4 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\react.svg                                                                                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\terrappin.jsx                                                                                        | JavaScript JSX     |         55 |          0 |          4 |         59 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\image\''.svg                                                                                               | XML                |          4 |          0 |          1 |          5 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\image\dots.svg                                                                                             | XML                |         18 |          0 |          1 |         19 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\image\download-4.svg                                                                                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\image\download-5.svg                                                                                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\image\empty.svg                                                                                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\image\graduation.svg                                                                                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\image\lightwave.svg                                                                                        | XML                |          3 |          0 |          1 |          4 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\image\line.svg                                                                                             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\image\pinkmount.svg                                                                                        | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\image\wave.svg                                                                                             | XML                |          3 |          0 |          1 |          4 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\react.svg                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\forgotPassword\formikData.jsx                                                                     | JavaScript JSX     |          7 |          0 |          3 |         10 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\forgotPassword\index.jsx                                                                          | JavaScript JSX     |        124 |          2 |         22 |        148 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\forgotPassword\styles.module.css                                                                  | CSS                |         59 |          0 |          9 |         68 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\login\admin\formikData.jsx                                                                        | JavaScript JSX     |          9 |          0 |          4 |         13 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\login\admin\index.jsx                                                                             | JavaScript JSX     |        159 |          6 |         21 |        186 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\login\admin\styles.module.css                                                                     | CSS                |         59 |          0 |          9 |         68 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\login\index.jsx                                                                                   | JavaScript JSX     |         14 |          0 |          2 |         16 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\login\student\formikData.jsx                                                                      | JavaScript JSX     |          9 |          0 |          4 |         13 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\login\student\index.jsx                                                                           | JavaScript JSX     |        171 |          6 |         23 |        200 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\login\student\styles.module.css                                                                   | CSS                |         59 |          0 |          9 |         68 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\login\teacher\formikData.jsx                                                                      | JavaScript JSX     |          9 |          0 |          4 |         13 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\login\teacher\index.jsx                                                                           | JavaScript JSX     |        171 |          6 |         21 |        198 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\login\teacher\styles.module.css                                                                   | CSS                |         59 |          0 |          9 |         68 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\register\index.jsx                                                                                | JavaScript JSX     |         19 |          0 |          2 |         21 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\register\student\formikData.jsx                                                                   | JavaScript JSX     |         41 |          0 |         13 |         54 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\register\student\index.jsx                                                                        | JavaScript JSX     |        587 |         20 |         72 |        679 |
